iter	Passed	Remaining
0	195	38925
1	250	24799
2	299	19680
3	346	16975
4	381	14887
5	425	13750
6	456	12589
7	511	12278
8	543	11541
9	584	11109
10	712	12249
11	825	12936
12	941	13544
13	1068	14199
14	1153	14225
15	1218	14011
16	1291	13904
17	1341	13565
18	1421	13542
19	1486	13379
20	1591	13565
21	1638	13254
22	1669	12850
23	1701	12474
24	1741	12189
25	1781	11922
26	1828	11713
27	1853	11385
28	1883	11106
29	1937	10979
30	1982	10807
31	2012	10563
32	2042	10335
33	2097	10242
34	2145	10112
35	2180	9932
36	2214	9757
37	2274	9695
38	2317	9565
39	2362	9450
40	2395	9289
41	2432	9150
42	2473	9030
43	2511	8906
44	2540	8751
45	2568	8600
46	2611	8501
47	2643	8371
48	2677	8251
49	2701	8104
50	2731	7979
51	2778	7908
52	2815	7809
53	2847	7697
54	2876	7582
55	2912	7488
56	2955	7415
57	2994	7331
58	3024	7226
59	3055	7128
60	3094	7050
61	3134	6975
62	3173	6901
63	3205	6810
64	3235	6720
65	3275	6649
66	3317	6585
67	3356	6515
68	3386	6429
69	3425	6362
70	3458	6284
71	3497	6218
72	3537	6154
73	3567	6073
74	3602	6003
75	3637	5935
76	3704	5917
77	3736	5844
78	3770	5774
79	3801	5702
80	3954	5809
81	4089	5884
82	4149	5849
83	4185	5780
84	4231	5724
85	4282	5676
86	4332	5626
87	4367	5559
88	4402	5490
89	4447	5436
90	4502	5393
91	4551	5342
92	4587	5278
93	4683	5281
94	4742	5241
95	4819	5221
96	4898	5201
97	4945	5147
98	5051	5153
99	5100	5100
100	5147	5046
101	5193	4989
102	5243	4938
103	5284	4878
104	5418	4902
105	5566	4936
106	5623	4887
107	5662	4823
108	5697	4756
109	5742	4698
110	5777	4632
111	5819	4572
112	5882	4528
113	5980	4511
114	6076	4491
115	6129	4438
116	6181	4385
117	6252	4345
118	6299	4287
119	6335	4223
120	6394	4174
121	6464	4133
122	6501	4070
123	6540	4008
124	6579	3947
125	6626	3891
126	6663	3830
127	6698	3767
128	6747	3713
129	6790	3656
130	6827	3596
131	6857	3532
132	6883	3467
133	6919	3408
134	6949	3346
135	6981	3285
136	7010	3223
137	7037	3161
138	7073	3103
139	7104	3044
140	7135	2985
141	7165	2926
142	7197	2869
143	7236	2814
144	7267	2756
145	7299	2699
146	7328	2642
147	7361	2586
148	7397	2531
149	7421	2473
150	7451	2417
151	7482	2362
152	7516	2309
153	7548	2254
154	7579	2200
155	7610	2146
156	7634	2091
157	7666	2037
158	7699	1985
159	7729	1932
160	7758	1879
161	7787	1826
162	7814	1773
163	7850	1723
164	7881	1671
165	7911	1620
166	7940	1569
167	7962	1516
168	8004	1468
169	8031	1417
170	8061	1367
171	8091	1317
172	8117	1266
173	8146	1217
174	8183	1169
175	8212	1119
176	8242	1071
177	8272	1022
178	8300	973
179	8337	926
180	8364	878
181	8393	830
182	8424	782
183	8454	735
184	8479	687
185	8519	641
186	8546	594
187	8574	547
188	8604	500
189	8631	454
190	8669	408
191	8695	362
192	8724	316
193	8754	270
194	8780	225
195	8807	179
196	8846	134
197	8873	89
198	8906	44
199	8938	0
